quarter_id,quarter_label,reference_time,metric_beat,measure_id,status
254,Q255,92.67083900226757,1,M64,VALIDATED_PI_ORIGIN_PROPAGATED
255,Q256,93.042358276644,2,M64,VALIDATED_PI_ORIGIN_PROPAGATED
256,Q257,93.39065759637188,3,M64,VALIDATED_PI_ORIGIN_PROPAGATED
257,Q258,93.7621768707483,4,M64,VALIDATED_PI_ORIGIN_PROPAGATED
258,Q259,94.11047619047619,1,M65,VALIDATED_PI_ORIGIN_PROPAGATED
259,Q260,94.4819954648526,2,M65,VALIDATED_PI_ORIGIN_PROPAGATED
260,Q261,94.85351473922903,3,M65,VALIDATED_PI_ORIGIN_PROPAGATED
261,Q262,95.20181405895691,4,M65,VALIDATED_PI_ORIGIN_PROPAGATED
262,Q263,95.57333333333334,1,M66,VALIDATED_PI_ORIGIN_PROPAGATED
263,Q264,95.92163265306122,2,M66,VALIDATED_PI_ORIGIN_PROPAGATED
264,Q265,96.29315192743765,3,M66,VALIDATED_PI_ORIGIN_PROPAGATED
265,Q266,96.64145124716553,4,M66,VALIDATED_PI_ORIGIN_PROPAGATED
266,Q267,97.01297052154194,1,M67,VALIDATED_PI_ORIGIN_PROPAGATED
267,Q268,97.36126984126984,2,M67,VALIDATED_PI_ORIGIN_PROPAGATED
268,Q269,97.73278911564626,3,M67,VALIDATED_PI_ORIGIN_PROPAGATED
269,Q270,98.08108843537416,4,M67,VALIDATED_PI_ORIGIN_PROPAGATED
270,Q271,98.45260770975057,1,M68,VALIDATED_PI_ORIGIN_PROPAGATED
271,Q272,98.82412698412699,2,M68,VALIDATED_PI_ORIGIN_PROPAGATED
272,Q273,99.17242630385488,3,M68,VALIDATED_PI_ORIGIN_PROPAGATED
273,Q274,99.54394557823129,4,M68,VALIDATED_PI_ORIGIN_PROPAGATED
274,Q275,99.91546485260771,1,M69,VALIDATED_PI_ORIGIN_PROPAGATED
275,Q276,100.28698412698412,2,M69,VALIDATED_PI_ORIGIN_PROPAGATED
276,Q277,100.65850340136055,3,M69,VALIDATED_PI_ORIGIN_PROPAGATED
277,Q278,101.03002267573696,4,M69,VALIDATED_PI_ORIGIN_PROPAGATED
278,Q279,101.40154195011338,1,M70,VALIDATED_PI_ORIGIN_PROPAGATED
279,Q280,101.74984126984127,2,M70,VALIDATED_PI_ORIGIN_PROPAGATED
280,Q281,102.1213605442177,3,M70,VALIDATED_PI_ORIGIN_PROPAGATED
281,Q282,102.46965986394558,4,M70,VALIDATED_PI_ORIGIN_PROPAGATED
282,Q283,102.84117913832199,1,M71,VALIDATED_PI_ORIGIN_PROPAGATED
283,Q284,103.18947845804989,2,M71,VALIDATED_PI_ORIGIN_PROPAGATED
284,Q285,103.53777777777778,3,M71,VALIDATED_PI_ORIGIN_PROPAGATED
285,Q286,103.9092970521542,4,M71,VALIDATED_PI_ORIGIN_PROPAGATED
286,Q287,104.25759637188209,1,M72,VALIDATED_PI_ORIGIN_PROPAGATED
287,Q288,104.60589569160997,2,M72,VALIDATED_PI_ORIGIN_PROPAGATED
288,Q289,104.9774149659864,3,M72,VALIDATED_PI_ORIGIN_PROPAGATED
289,Q290,105.32571428571428,4,M72,VALIDATED_PI_ORIGIN_PROPAGATED
290,Q291,105.67401360544218,1,M73,VALIDATED_PI_ORIGIN_PROPAGATED
291,Q292,106.0455328798186,2,M73,VALIDATED_PI_ORIGIN_PROPAGATED
292,Q293,106.39383219954648,3,M73,VALIDATED_PI_ORIGIN_PROPAGATED
293,Q294,106.74213151927438,4,M73,VALIDATED_PI_ORIGIN_PROPAGATED
294,Q295,107.11365079365079,1,M74,VALIDATED_PI_ORIGIN_PROPAGATED
295,Q296,107.46195011337869,2,M74,VALIDATED_PI_ORIGIN_PROPAGATED
296,Q297,107.81024943310658,3,M74,VALIDATED_PI_ORIGIN_PROPAGATED
297,Q298,108.18176870748299,4,M74,VALIDATED_PI_ORIGIN_PROPAGATED
298,Q299,108.53006802721089,1,M75,VALIDATED_PI_ORIGIN_PROPAGATED
299,Q300,108.9015873015873,2,M75,VALIDATED_PI_ORIGIN_PROPAGATED
300,Q301,109.2498866213152,3,M75,VALIDATED_PI_ORIGIN_PROPAGATED
301,Q302,109.62140589569161,4,M75,VALIDATED_PI_ORIGIN_PROPAGATED
302,Q303,109.9697052154195,1,M76,VALIDATED_PI_ORIGIN_PROPAGATED
303,Q304,110.34122448979592,2,M76,VALIDATED_PI_ORIGIN_PROPAGATED
304,Q305,110.6895238095238,3,M76,VALIDATED_PI_ORIGIN_PROPAGATED
305,Q306,111.06104308390023,4,M76,VALIDATED_PI_ORIGIN_PROPAGATED
306,Q307,111.43256235827664,1,M77,VALIDATED_PI_ORIGIN_PROPAGATED
307,Q308,111.78086167800454,2,M77,VALIDATED_PI_ORIGIN_PROPAGATED
308,Q309,112.12916099773243,3,M77,VALIDATED_PI_ORIGIN_PROPAGATED
309,Q310,112.50068027210884,4,M77,VALIDATED_PI_ORIGIN_PROPAGATED
310,Q311,112.84897959183674,1,M78,VALIDATED_PI_ORIGIN_PROPAGATED
311,Q312,113.22049886621315,2,M78,VALIDATED_PI_ORIGIN_PROPAGATED
312,Q313,113.56879818594105,3,M78,VALIDATED_PI_ORIGIN_PROPAGATED
313,Q314,113.94031746031746,4,M78,VALIDATED_PI_ORIGIN_PROPAGATED
314,Q315,114.31183673469388,1,M79,VALIDATED_PI_ORIGIN_PROPAGATED
