PLP_peak_index,Bass_only_marker_ids,Drum_only_marker_ids,dual_marker_ids,distinct_single_support_co_coverage,physical_pair_status,Bass_Drum_attack_delta_ms
246,,F_MIX_00449,,False,NOT_ESTABLISHED,
247,,,F_MIX_00450,False,NOT_ESTABLISHED,
248,,F_MIX_00451,F_MIX_00452,False,NOT_ESTABLISHED,
249,,,F_MIX_00455,False,NOT_ESTABLISHED,
250,,,F_MIX_00457,False,NOT_ESTABLISHED,
251,,,F_MIX_00459,False,NOT_ESTABLISHED,
252,,F_MIX_00460;F_MIX_00461,,False,NOT_ESTABLISHED,
253,,F_MIX_00464,F_MIX_00463,False,NOT_ESTABLISHED,
254,,,F_MIX_00466,False,NOT_ESTABLISHED,
255,,F_MIX_00467,F_MIX_00468,False,NOT_ESTABLISHED,
256,,F_MIX_00469;F_MIX_00470,,False,NOT_ESTABLISHED,
257,,F_MIX_00472,,False,NOT_ESTABLISHED,
258,,F_MIX_00473,,False,NOT_ESTABLISHED,
259,,,F_MIX_00474,False,NOT_ESTABLISHED,
260,,F_MIX_00475,,False,NOT_ESTABLISHED,
261,,F_MIX_00476,,False,NOT_ESTABLISHED,
262,,F_MIX_00477,F_MIX_00478,False,NOT_ESTABLISHED,
263,,F_MIX_00480,,False,NOT_ESTABLISHED,
264,,F_MIX_00481,,False,NOT_ESTABLISHED,
265,,,F_MIX_00483,False,NOT_ESTABLISHED,
266,,F_MIX_00484;F_MIX_00485,,False,NOT_ESTABLISHED,
267,,F_MIX_00486,,False,NOT_ESTABLISHED,
268,,F_MIX_00487,,False,NOT_ESTABLISHED,
269,,F_MIX_00489,,False,NOT_ESTABLISHED,
270,,F_MIX_00490,,False,NOT_ESTABLISHED,
271,,F_MIX_00492,,False,NOT_ESTABLISHED,
272,,F_MIX_00493,,False,NOT_ESTABLISHED,
273,,F_MIX_00494,F_MIX_00495,False,NOT_ESTABLISHED,
274,,,F_MIX_00497,False,NOT_ESTABLISHED,
275,,,F_MIX_00500,False,NOT_ESTABLISHED,
276,,,F_MIX_00502,False,NOT_ESTABLISHED,
277,,,F_MIX_00504,False,NOT_ESTABLISHED,
278,,,,False,NOT_ESTABLISHED,
279,,,F_MIX_00507,False,NOT_ESTABLISHED,
280,,F_MIX_00508,,False,NOT_ESTABLISHED,
281,,F_MIX_00510,,False,NOT_ESTABLISHED,
282,,,,False,NOT_ESTABLISHED,
283,,,F_MIX_00512,False,NOT_ESTABLISHED,
284,,F_MIX_00513,F_MIX_00514,False,NOT_ESTABLISHED,
285,,,F_MIX_00516,False,NOT_ESTABLISHED,
286,,F_MIX_00517;F_MIX_00519;F_MIX_00520,,False,NOT_ESTABLISHED,
287,,F_MIX_00521,F_MIX_00522,False,NOT_ESTABLISHED,
288,,F_MIX_00523;F_MIX_00524,,False,NOT_ESTABLISHED,
289,,F_MIX_00526,,False,NOT_ESTABLISHED,
290,,F_MIX_00527,,False,NOT_ESTABLISHED,
291,,F_MIX_00528,,False,NOT_ESTABLISHED,
292,,F_MIX_00529,,False,NOT_ESTABLISHED,
293,,F_MIX_00530,,False,NOT_ESTABLISHED,
