measure,beat,quarter_ID,PLP_time_s,Bass_support_N_measure,Bass_grid_eligible,Bass_observed_support,Bass_event_ID,Bass_observed_time_s,BMIG_time_s,Bass_residual_ms,Bass_point_status,Bass_timing_provenance,Drum_support_N_measure,Drum_grid_eligible,Drum_observed_support,Drum_event_ID,Drum_observed_time_s,DMIG_time_s,Drum_residual_ms,Drum_point_status,Drum_timing_provenance,GRID_DELTA_ms,measure_comparison_eligible,notes
M42,2,Q168,61.32390022675737,3,YES,NO,,,61.394557823129254,,ESTIMATED_GRID_POINT_NO_OBSERVED_ONSET,,1,NO,NO,,,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M42,3,Q169,61.695419501133784,3,YES,YES,HF040,61.66848072562358,61.72326530612245,-54.78458049886825,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,A,1,NO,YES,F_MIX_00317,61.61414965986395,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M42,4,Q170,62.0669387755102,3,YES,YES,HF042,62.051972789115645,62.051972789115645,0.0,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,1,NO,NO,,,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M43,1,Q171,62.43845804988662,2,NO,NO,,,,,NO_GRID,,2,NO,YES,F_MIX_00321,62.43845804988662,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M43,2,Q172,62.80997732426304,2,NO,YES,HF043,62.92575011337868,,,NO_GRID,C,2,NO,NO,,,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M43,3,Q173,63.181496598639455,2,NO,YES,HF044,63.31174603174603,,,NO_GRID,A,2,NO,NO,,,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M43,4,Q174,63.52979591836735,2,NO,NO,,,,,NO_GRID,,2,NO,YES,F_MIX_00326,63.54140589569161,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M44,1,Q175,63.901315192743766,4,YES,YES,HF045,63.90775510204082,64.0080650037793,-100.30990173847698,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00327,63.80843537414966,63.84810279667422,-39.667422524559015,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,159.96220710507458,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M44,2,Q176,64.27283446712018,4,YES,YES,HF046,64.43020408163265,64.35072562358278,79.47845804987708,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,A,4,YES,YES,F_MIX_00328,64.24961451247165,64.2292970521542,20.317460317457403,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,121.42857142858077,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M44,3,Q177,64.62113378684808,4,YES,YES,HF047,64.76244897959184,64.69338624338624,69.06273620559489,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,A,4,YES,YES,F_MIX_00330,64.62113378684808,64.61049130763416,10.642479213913703,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,82.89493575207985,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M44,4,Q178,64.99265306122449,4,YES,YES,HF048,64.96698412698413,65.03604686318972,-69.06273620559489,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,A,4,YES,YES,F_MIX_00332,64.98104308390023,64.99168556311415,-10.642479213913703,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,44.361300075578924,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M45,1,Q179,65.34095238095239,3,YES,YES,HF049,65.33052154195012,65.33052154195012,0.0,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,2,NO,YES,F_MIX_00334,65.34095238095239,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M45,2,Q180,65.68925170068027,3,YES,NO,,,65.69422675736962,,ESTIMATED_GRID_POINT_NO_OBSERVED_ONSET,,2,NO,YES,F_MIX_00335,65.70086167800453,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M45,3,Q181,66.06077097505668,3,YES,YES,HF050,66.05850340136055,66.05793197278912,0.57142857143333,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,A,2,NO,NO,,,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M45,4,Q182,66.40907029478458,3,YES,YES,HF051,66.42163718820862,66.42163718820862,0.0,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,C,2,NO,NO,,,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M46,1,Q183,66.780589569161,4,YES,YES,HF052,66.77886621315193,66.66251700680272,116.34920634921286,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,A,3,YES,YES,F_MIX_00339,66.69931972789115,66.69931972789115,0.0,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,-36.802721088434964,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M46,2,Q184,67.1288888888889,4,YES,YES,HF053,66.96859002267574,67.08387755102041,-115.28752834466616,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,C,3,YES,NO,,,67.09018896447468,,ESTIMATED_GRID_POINT_NO_OBSERVED_ONSET,,-6.3114134542701095,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M46,3,Q185,67.47718820861678,4,YES,YES,HF054,67.48861678004535,67.5052380952381,-16.621315192750785,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,3,YES,YES,F_MIX_00343,67.5004081632653,67.4810582010582,19.349962207101612,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,24.179894179894745,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M46,4,Q186,67.84870748299319,4,YES,YES,HF055,67.94321995464853,67.92659863945579,16.621315192736574,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,A,3,YES,YES,F_MIX_00345,67.87192743764173,67.87192743764173,0.0,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,54.6712018140596,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M47,1,Q187,68.19700680272109,4,YES,YES,HF056,68.16441768707483,68.1511959750567,13.2217120181366,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,C,2,NO,YES,F_MIX_00347,68.20861678004535,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M47,2,Q188,68.5685260770975,4,YES,YES,HF057,68.50110702947846,68.53195769085413,-30.850661375666277,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,C,2,NO,NO,,,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M47,3,Q189,68.9168253968254,4,YES,YES,HF058,68.96426303854875,68.91271940665156,51.54363189718936,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,2,NO,YES,F_MIX_00351,68.84716553287981,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M47,4,Q190,69.28834467120181,4,YES,YES,HF059,69.28025941043084,69.29348112244898,-13.2217120181366,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,C,2,NO,NO,,,,,NO_GRID,,,NO,Original observations retained; grids are mathematical estimates; no GT validation.
M48,1,Q191,69.6366439909297,4,YES,YES,HF060,69.65632653061225,69.65628117913832,0.04535147392914496,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,A,4,YES,YES,F_MIX_00355,69.64825396825397,69.64970521541949,-1.4512471655194759,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,6.575963718830735,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M48,2,Q192,69.9849433106576,4,YES,YES,HF061,70.00589569160998,70.01262282690854,-6.727135298561393,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00357,70.01977324263038,70.01638699924413,3.386243386245269,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,-3.76417233559323,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M48,3,Q193,70.35646258503401,4,YES,YES,HF062,70.36907029478458,70.36896447467875,0.10582010582993462,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00359,70.37968253968253,70.38306878306878,-3.386243386245269,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,-14.104308390031406,YES,Original observations retained; grids are mathematical estimates; no GT validation.
M48,4,Q194,70.70476190476191,4,YES,YES,HF063,70.72526077097505,70.72530612244897,-0.045351473914934104,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,B,4,YES,YES,F_MIX_00361,70.75120181405896,70.74975056689343,1.4512471655336867,FITTED_GRID_POINT_WITH_OBSERVED_SUPPORT,,-24.44444444445537,YES,Original observations retained; grids are mathematical estimates; no GT validation.
