quarter_id,source_search,event_id,native_timestamp,source_state,old_role,selected
65,DRUM,F_MIX_00129,23.84689342403628,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
65,DRUM,F_MIX_00127,23.695963718820863,DRUM_SUPPORTED,CONTEXT,False
66,DRUM,F_MIX_00130,24.18358276643991,DRUM_SUPPORTED,PRIMARY,True
67,BASS,F_MIX_00132,24.555102040816326,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
67,DRUM,F_MIX_00132,24.555102040816326,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
67,DRUM,F_MIX_00133,24.589931972789117,DRUM_SUPPORTED,CONTEXT,False
68,BASS,F_MIX_00135,24.94984126984127,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
68,DRUM,F_MIX_00135,24.94984126984127,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
69,BASS,F_MIX_00138,25.33297052154195,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
69,DRUM,F_MIX_00138,25.33297052154195,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
69,DRUM,F_MIX_00137,25.240090702947846,DRUM_SUPPORTED,CONTEXT,False
69,DRUM,F_MIX_00136,25.205260770975055,DRUM_SUPPORTED,CONTEXT,False
70,BASS,F_MIX_00140,25.66965986394558,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
70,DRUM,F_MIX_00140,25.66965986394558,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
70,DRUM,F_MIX_00139,25.576780045351473,DRUM_SUPPORTED,CONTEXT,False
71,DRUM,F_MIX_00142,26.041179138321997,DRUM_SUPPORTED,PRIMARY,True
72,DRUM,F_MIX_00145,26.40108843537415,DRUM_SUPPORTED,PRIMARY,True
73,DRUM,F_MIX_00149,26.772607709750567,DRUM_SUPPORTED,PRIMARY,True
74,BASS,F_MIX_00150,27.144126984126984,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
74,DRUM,F_MIX_00150,27.144126984126984,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
75,BASS,F_MIX_00151,27.50403628117914,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
75,DRUM,F_MIX_00151,27.50403628117914,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
76,DRUM,F_MIX_00152,27.805895691609976,DRUM_SUPPORTED,PRIMARY,True
77,BASS,F_MIX_00154,28.23546485260771,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
77,DRUM,F_MIX_00154,28.23546485260771,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
78,BASS,F_MIX_00156,28.606984126984127,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
78,DRUM,F_MIX_00156,28.606984126984127,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
79,BASS,F_MIX_00157,28.943673469387754,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
79,DRUM,F_MIX_00157,28.943673469387754,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
80,BASS,F_MIX_00158,29.31519274376417,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
80,DRUM,F_MIX_00158,29.31519274376417,BASS_AND_DRUM_SUPPORTED,PRIMARY,True
81,DRUM,F_MIX_00160,29.68671201814059,DRUM_SUPPORTED,PRIMARY,True
82,DRUM,F_MIX_00162,30.06984126984127,DRUM_SUPPORTED,PRIMARY,True
83,DRUM,F_MIX_00163,30.37170068027211,DRUM_SUPPORTED,PRIMARY,True
84,DRUM,F_MIX_00165,30.778049886621314,DRUM_SUPPORTED,PRIMARY,True
85,DRUM,F_MIX_00167,31.13795918367347,DRUM_SUPPORTED,PRIMARY,True
86,DRUM,F_MIX_00169,31.509478458049887,DRUM_SUPPORTED,PRIMARY,True
87,DRUM,F_MIX_00170,31.86938775510204,DRUM_SUPPORTED,PRIMARY,True
89,DRUM,F_MIX_00173,32.496326530612244,DRUM_SUPPORTED,PRIMARY,True
89,DRUM,F_MIX_00174,32.60081632653061,DRUM_SUPPORTED,CONTEXT,False
90,DRUM,F_MIX_00177,32.97233560090703,DRUM_SUPPORTED,CONTEXT,True
91,DRUM,F_MIX_00179,33.32063492063492,DRUM_SUPPORTED,PRIMARY,True
91,DRUM,F_MIX_00178,33.20453514739229,DRUM_SUPPORTED,CONTEXT,False
92,DRUM,F_MIX_00180,33.57605442176871,DRUM_SUPPORTED,PRIMARY,True
92,DRUM,F_MIX_00181,33.68054421768707,DRUM_SUPPORTED,CONTEXT,False
93,DRUM,F_MIX_00183,34.06367346938776,DRUM_SUPPORTED,CONTEXT,True
94,DRUM,F_MIX_00186,34.40036281179138,DRUM_SUPPORTED,PRIMARY,True
95,DRUM,F_MIX_00188,34.76027210884354,DRUM_SUPPORTED,PRIMARY,True
95,DRUM,F_MIX_00187,34.65578231292517,DRUM_SUPPORTED,CONTEXT,False
96,DRUM,F_MIX_00190,35.15501133786848,DRUM_SUPPORTED,CONTEXT,True
97,DRUM,F_MIX_00191,35.49170068027211,DRUM_SUPPORTED,PRIMARY,True
98,DRUM,F_MIX_00193,35.86321995464853,DRUM_SUPPORTED,PRIMARY,True
98,DRUM,F_MIX_00192,35.75873015873016,DRUM_SUPPORTED,CONTEXT,False
99,DRUM,F_MIX_00195,36.22312925170068,DRUM_SUPPORTED,PRIMARY,True
100,DRUM,F_MIX_00196,36.594648526077094,DRUM_SUPPORTED,PRIMARY,True
101,DRUM,F_MIX_00198,36.95455782312925,DRUM_SUPPORTED,PRIMARY,True
102,DRUM,F_MIX_00199,37.314467120181405,DRUM_SUPPORTED,PRIMARY,True
103,DRUM,F_MIX_00200,37.697596371882085,DRUM_SUPPORTED,PRIMARY,True
104,DRUM,F_MIX_00204,38.0691156462585,DRUM_SUPPORTED,PRIMARY,True
105,DRUM,F_MIX_00207,38.44063492063492,DRUM_SUPPORTED,PRIMARY,True
