event_id,stem,timestamp_s,sample_index,in_scope,identity,asset_sha256,source_identity,provenance,operational_timestamp,timestamp_origin,full_mix_event_id
BASS_00168,bass,70.72798185941043,3119104,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,70.72798185941043,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00169,bass,71.09950113378684,3135488,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,71.09950113378684,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00170,bass,71.35492063492063,3146752,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,71.35492063492063,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00171,bass,71.44780045351474,3150848,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,71.44780045351474,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00172,bass,72.16761904761904,3182592,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,72.16761904761904,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00176,bass,74.23419501133787,3273728,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,74.23419501133787,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00181,bass,75.77832199546485,3341824,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,75.77832199546485,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00183,bass,76.48653061224489,3373056,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,76.48653061224489,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00184,bass,76.86965986394557,3389952,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,76.86965986394557,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00187,bass,77.57786848072563,3421184,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,77.57786848072563,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00190,bass,78.64598639455782,3468288,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,78.64598639455782,SEPARATOR_STEM,NOT_ESTABLISHED
BASS_00191,bass,80.45714285714286,3548160,True,SEPARATOR_BASS_STEM,8ca185528ce4c50f7a318fb21e9e49ee68b76c7fbede9e7dace5b61120c46952,d5f2440b-872e-5ed1-a582-134444ebff00,SEPARATOR_DERIVED / STEM_ONLY,80.45714285714286,SEPARATOR_STEM,NOT_ESTABLISHED
