stem,quarter_id,quarter_timestamp,candidate_N,selected_id,timestamp_s,sample_index,offset_ms,state
bass,405,147.16807256235828,4,BASS_00387,147.19129251700681,6491136,23.21995464853000,SELECTED
bass,406,147.51637188208616,2,BASS_00389,147.5628117913832,6507520,46.43990929704000,SELECTED
bass,407,147.8878911564626,3,BASS_00392,147.92272108843537,6523392,34.82993197277000,SELECTED
bass,408,148.23619047619047,3,BASS_00394,148.16653061224488,6534144,-69.65986394559000,SELECTED
bass,409,148.58448979591836,1,BASS_00396,148.52643990929704,6550016,-58.04988662132000,SELECTED
bass,410,148.95600907029478,2,BASS_00397,148.99083900226756,6570496,34.82993197278000,SELECTED
bass,411,149.30430839002267,2,BASS_00400,149.35074829931972,6586368,46.43990929705000,SELECTED
bass,412,149.65260770975055,1,BASS_00401,149.7338775510204,6603264,81.26984126985000,SELECTED
bass,413,150.02412698412698,1,BASS_00402,149.8964172335601,6610432,-127.70975056688000,SELECTED
bass,414,150.3956462585034,2,BASS_00404,150.465306122449,6635520,69.6598639456000,SELECTED
bass,415,150.7439455782313,1,BASS_00405,150.7091156462585,6646272,-34.8299319728000,SELECTED
bass,416,151.11546485260772,2,BASS_00407,151.0806349206349,6662656,-34.82993197282000,SELECTED
bass,417,151.48698412698414,1,BASS_00408,151.45215419501133,6679040,-34.82993197281000,SELECTED
bass,418,151.85850340136054,1,BASS_00409,151.7772335600907,6693376,-81.26984126984000,SELECTED
bass,419,152.23002267573696,1,BASS_00410,152.29968253968255,6716416,69.65986394559000,SELECTED
bass,420,152.6015419501134,1,BASS_00411,152.67120181405895,6732800,69.65986394555000,SELECTED
bass,421,152.99628117913832,1,BASS_00412,153.01950113378686,6748160,23.21995464854000,SELECTED
bass,422,153.36780045351475,1,BASS_00413,153.37941043083902,6764032,11.60997732427000,SELECTED
bass,423,153.73931972789114,1,BASS_00414,153.73931972789114,6779904,0E-14,SELECTED
bass,424,154.08761904761906,1,BASS_00415,154.1340589569161,6797312,46.43990929704000,SELECTED
bass,425,154.45913832199545,2,BASS_00417,154.47074829931972,6812160,11.60997732427000,SELECTED
bass,426,154.83065759637188,1,BASS_00418,154.85387755102042,6829056,23.21995464854000,SELECTED
bass,427,155.17895691609976,1,BASS_00419,155.19056689342403,6843904,11.60997732427000,SELECTED
bass,428,155.52725623582765,2,BASS_00421,155.5504761904762,6859776,23.21995464855000,SELECTED
bass,429,155.89877551020408,1,BASS_00422,155.9219954648526,6876160,23.21995464852000,SELECTED
bass,430,156.24707482993196,1,BASS_00423,156.2702947845805,6891520,23.21995464854000,SELECTED
bass,431,156.6185941043084,1,BASS_00424,156.63020408163266,6907392,11.60997732426000,SELECTED
bass,432,156.96689342403627,3,BASS_00425,156.94367346938776,6921216,-23.21995464851000,SELECTED
bass,433,157.3384126984127,0,,,,,EMPTY
bass,434,157.70993197278912,2,BASS_00429,157.7447619047619,6956544,34.82993197278000,SELECTED
bass,435,158.08145124716555,1,BASS_00430,157.97696145124718,6966784,-104.48979591837000,SELECTED
bass,436,158.45297052154194,2,BASS_00432,158.48780045351475,6989312,34.82993197281000,SELECTED
bass,437,158.80126984126983,0,,,,,EMPTY
bass,438,159.17278911564625,2,BASS_00434,159.2192290249433,7021568,46.43990929705000,SELECTED
bass,439,159.54430839002268,1,BASS_00435,159.54430839002268,7035904,0E-14,SELECTED
bass,440,159.9158276643991,1,BASS_00436,159.81133786848073,7047680,-104.48979591837000,SELECTED
bass,441,160.264126984127,2,BASS_00438,160.2873469387755,7068672,23.2199546485000,SELECTED
bass,442,160.61242630385487,1,BASS_00439,160.6356462585034,7084032,23.21995464853000,SELECTED
bass,443,160.9839455782313,1,BASS_00440,160.86784580498866,7094272,-116.09977324264000,SELECTED
bass,444,161.33224489795919,3,BASS_00443,161.41351473922902,7118336,81.26984126983000,SELECTED
bass,445,161.68054421768707,2,BASS_00445,161.7385941043084,7132672,58.04988662133000,SELECTED
bass,446,162.0520634920635,1,BASS_00446,161.9824036281179,7143424,-69.6598639456000,SELECTED
