quarter_id,quarter_timestamp,full_mix_dual_id,full_mix_no_distinct_alternative,Bass_candidate_N,Drums_candidate_N,category,selected_pair_resolved,selected_Drum_minus_Bass_ms
67,24.543492063492064,F_MIX_00132,False,1,1,C_DISTINGUISHABLE,True,34.82993197278911
68,24.91501133786848,F_MIX_00135,True,0,1,B_DRUM_ONLY,False,
69,25.2865306122449,F_MIX_00138,False,1,1,C_DISTINGUISHABLE,True,-92.87981859410431
70,25.658049886621317,F_MIX_00140,False,2,2,F_MULTIPLE_CANDIDATES,True,-23.219954648526077
74,27.144126984126984,F_MIX_00150,True,1,2,F_MULTIPLE_CANDIDATES,False,0.0
75,27.515646258503402,F_MIX_00151,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,-11.609977324263038
77,28.23546485260771,F_MIX_00154,True,0,1,B_DRUM_ONLY,False,
78,28.606984126984127,F_MIX_00156,True,1,2,F_MULTIPLE_CANDIDATES,False,0.0
79,28.955283446712016,F_MIX_00157,True,1,1,C_DISTINGUISHABLE,True,-23.219954648526077
80,29.326802721088434,F_MIX_00158,True,1,2,F_MULTIPLE_CANDIDATES,False,0.0
113,41.35473922902494,F_MIX_00222,False,2,2,F_MULTIPLE_CANDIDATES,False,11.609977324263038
114,41.72625850340136,F_MIX_00224,False,1,2,F_MULTIPLE_CANDIDATES,False,-11.609977324263038
118,43.1891156462585,F_MIX_00231,True,1,0,A_BASS_ONLY,False,
122,44.698412698412696,F_MIX_00238,False,1,2,F_MULTIPLE_CANDIDATES,False,0.0
164,60.20934240362812,F_MIX_00309,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,11.609977324263038
165,60.58086167800454,F_MIX_00312,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
167,61.32390022675737,F_MIX_00316,True,2,1,F_MULTIPLE_CANDIDATES,False,0.0
168,61.695419501133784,F_MIX_00318,False,1,1,C_DISTINGUISHABLE,True,-116.09977324263039
169,62.0669387755102,F_MIX_00319,True,3,2,F_MULTIPLE_CANDIDATES,True,-23.219954648526077
171,62.80997732426304,F_MIX_00323,True,2,1,F_MULTIPLE_CANDIDATES,True,-34.82993197278911
172,63.181496598639455,F_MIX_00324,True,0,2,B_DRUM_ONLY,False,
180,66.06077097505668,F_MIX_00337,True,1,2,F_MULTIPLE_CANDIDATES,False,-11.609977324263038
181,66.40907029478458,F_MIX_00338,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,-11.609977324263038
182,66.780589569161,F_MIX_00340,False,1,2,F_MULTIPLE_CANDIDATES,False,11.609977324263038
183,67.1288888888889,F_MIX_00341,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,-11.609977324263038
187,68.5685260770975,F_MIX_00350,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,-11.609977324263038
189,69.28834467120181,F_MIX_00353,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
203,74.32707482993197,F_MIX_00378,True,2,1,F_MULTIPLE_CANDIDATES,False,-11.609977324263038
205,75.04689342403628,F_MIX_00382,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,-11.609977324263038
206,75.39519274376417,F_MIX_00384,False,1,2,F_MULTIPLE_CANDIDATES,False,0.0
221,80.78222222222222,F_MIX_00410,False,1,2,F_MULTIPLE_CANDIDATES,True,-150.92970521541952
224,81.87356009070295,F_MIX_00416,True,2,2,F_MULTIPLE_CANDIDATES,False,11.609977324263038
230,84.10267573696144,F_MIX_00423,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
231,84.45097505668934,F_MIX_00424,True,1,1,D_UNRESOLVED_WITHIN_HOP,False,0.0
