stem,full_mix_id,stem_id,full_mix_state,full_mix_sample,stem_sample,FM_MINUS_STEM_ms
bass,F_MIX_01108,BASS_00582,BASS_AND_DRUM_SUPPORTED,9806848,9806848,0.0
bass,F_MIX_01114,BASS_00587,BASS_AND_DRUM_SUPPORTED,9885696,9885696,0.0
bass,F_MIX_01116,BASS_00588,BASS_AND_DRUM_SUPPORTED,9902080,9901568,11.609977324263038
bass,F_MIX_01118,BASS_00589,BASS_AND_DRUM_SUPPORTED,9918464,9917952,11.609977324263038
bass,F_MIX_01121,BASS_00590,DRUM_SUPPORTED,9949696,9950208,-11.609977324263038
bass,F_MIX_01123,BASS_00591,DRUM_SUPPORTED,9966080,9965568,11.609977324263038
bass,F_MIX_01125,BASS_00592,DRUM_SUPPORTED,9981440,9980928,11.609977324263038
bass,F_MIX_01147,BASS_00594,UNKNOWN,10250752,10250752,0.0
bass,F_MIX_01149,BASS_00595,DRUM_SUPPORTED,10257408,10257408,0.0
bass,F_MIX_01151,BASS_00596,UNKNOWN,10285568,10285568,0.0
bass,F_MIX_01152,BASS_00597,DRUM_SUPPORTED,10290176,10290176,0.0
bass,F_MIX_01156,BASS_00598,BASS_AND_DRUM_SUPPORTED,10323456,10323968,-11.609977324263038
bass,F_MIX_01160,BASS_00599,BASS_AND_DRUM_SUPPORTED,10357248,10357760,-11.609977324263038
bass,F_MIX_01164,BASS_00600,DRUM_SUPPORTED,10389504,10390016,-11.609977324263038
bass,F_MIX_01168,BASS_00601,DRUM_SUPPORTED,10422784,10422272,11.609977324263038
bass,F_MIX_01170,BASS_00602,UNKNOWN,10446336,10445824,11.609977324263038
bass,F_MIX_01174,BASS_00605,UNKNOWN,10483200,10483200,0.0
bass,F_MIX_01175,BASS_00606,BASS_AND_DRUM_SUPPORTED,10488320,10488832,-11.609977324263038
bass,F_MIX_01185,BASS_00609,UNKNOWN,10583040,10582528,11.609977324263038
bass,F_MIX_01191,BASS_00611,DRUM_SUPPORTED,10621440,10620928,11.609977324263038
bass,F_MIX_01195,BASS_00613,BASS_AND_DRUM_SUPPORTED,10654208,10654208,0.0
bass,F_MIX_01198,BASS_00614,UNKNOWN,10682880,10682880,0.0
bass,F_MIX_01199,BASS_00615,DRUM_SUPPORTED,10687488,10687488,0.0
bass,F_MIX_01201,BASS_00616,UNKNOWN,10698240,10698240,0.0
bass,F_MIX_01208,BASS_00617,DRUM_SUPPORTED,10769920,10770432,-11.609977324263038
bass,F_MIX_01216,BASS_00619,BASS_AND_DRUM_SUPPORTED,10853888,10853888,0.0
bass,F_MIX_01220,BASS_00620,UNKNOWN,10882048,10882048,0.0
bass,F_MIX_01222,BASS_00622,UNKNOWN,10897408,10897408,0.0
bass,F_MIX_01225,BASS_00624,BASS_AND_DRUM_SUPPORTED,10918400,10918400,0.0
bass,F_MIX_01229,BASS_00625,BASS_AND_DRUM_SUPPORTED,10952704,10952704,0.0
bass,F_MIX_01233,BASS_00626,DRUM_SUPPORTED,10980864,10980864,0.0
bass,F_MIX_01234,BASS_00627,BASS_AND_DRUM_SUPPORTED,10985984,10986496,-11.609977324263038
bass,F_MIX_01237,BASS_00628,BASS_AND_DRUM_SUPPORTED,11002368,11002880,-11.609977324263038
bass,F_MIX_01240,BASS_00630,DRUM_SUPPORTED,11034112,11034624,-11.609977324263038
bass,F_MIX_01241,BASS_00631,UNKNOWN,11045888,11046400,-11.609977324263038
bass,F_MIX_01249,BASS_00633,UNKNOWN,11106816,11106816,0.0
bass,F_MIX_01250,BASS_00634,DRUM_SUPPORTED,11111936,11111936,0.0
bass,F_MIX_01251,BASS_00635,BASS_AND_DRUM_SUPPORTED,11117056,11117056,0.0
bass,F_MIX_01252,BASS_00636,DRUM_SUPPORTED,11124736,11124736,0.0
bass,F_MIX_01269,BASS_00638,DRUM_SUPPORTED,11297792,11297792,0.0
bass,F_MIX_01271,BASS_00639,DRUM_SUPPORTED,11315712,11315712,0.0
bass,F_MIX_01276,BASS_00640,DRUM_SUPPORTED,11351040,11351040,0.0
bass,F_MIX_01277,BASS_00641,DRUM_SUPPORTED,11365888,11365888,0.0
bass,F_MIX_01278,BASS_00642,DRUM_SUPPORTED,11378688,11378688,0.0
bass,F_MIX_01281,BASS_00644,DRUM_SUPPORTED,11399168,11398656,11.609977324263038
bass,F_MIX_01297,BASS_00651,DRUM_SUPPORTED,11513856,11513856,0.0
bass,F_MIX_01305,BASS_00655,DRUM_SUPPORTED,11576832,11576832,0.0
bass,F_MIX_01310,BASS_00658,DRUM_SUPPORTED,11625472,11625472,0.0
bass,F_MIX_01311,BASS_00659,DRUM_SUPPORTED,11637248,11636736,11.609977324263038
bass,F_MIX_01312,BASS_00661,DRUM_SUPPORTED,11656704,11657216,-11.609977324263038
bass,F_MIX_01314,BASS_00662,DRUM_SUPPORTED,11673088,11673088,0.0
bass,F_MIX_01316,BASS_00663,DRUM_SUPPORTED,11688960,11688448,11.609977324263038
bass,F_MIX_01318,BASS_00664,DRUM_SUPPORTED,11704832,11704832,0.0
bass,F_MIX_01321,BASS_00665,DRUM_SUPPORTED,11731968,11731456,11.609977324263038
