clip_id,native_note_id,onset_local_s,offset_local_s,duration_s,midi_pitch,amplitude,pitch_bends,episode_ids,routes
BASS,BP_0042,57.34910929705215,57.581308843537414,0.23219954648526198,36,0.4997938573360443,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF029,AMBIGUOUS_ROUTE
BASS,BP_0043,57.37232925170068,57.51164897959184,0.13931972789116287,64,0.38070806860923767,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF029,AMBIGUOUS_ROUTE
BASS,BP_0044,57.56969886621315,57.70901859410431,0.13931972789115576,28,0.3800389766693115,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]",HF030,AMBIGUOUS_ROUTE
BASS,BP_0045,57.67418866213152,57.813508390022676,0.13931972789115576,47,0.2830175459384918,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF030,AMBIGUOUS_ROUTE
BASS,BP_0046,57.70901859410431,58.12697777777778,0.4179591836734744,28,0.6560531854629517,"[2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1]",HF030,AMBIGUOUS_ROUTE
BASS,BP_0047,57.72062857142857,57.917998185941045,0.1973696145124748,40,0.4374140501022339,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF030,AMBIGUOUS_ROUTE
BASS,BP_0048,58.12697777777778,58.3707873015873,0.24380952380951726,29,0.6077776551246643,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2]",HF031,SECURE_ROUTE
BASS,BP_0049,58.44044716553288,58.75391655328798,0.3134693877550987,33,0.6273314952850342,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",HF032,SECURE_ROUTE
BASS,BP_0050,58.846796371882085,59.173159637188206,0.3263632653061208,46,0.3947725296020508,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1]",HF033,AMBIGUOUS_ROUTE
BASS,BP_0051,58.88162630385487,59.207989569161,0.3263632653061279,34,0.55931556224823,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF034,AMBIGUOUS_ROUTE
BASS,BP_0052,59.173159637188206,59.44018911564626,0.26702947845805625,46,0.6399059891700745,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 0]",HF034,AMBIGUOUS_ROUTE
BASS,BP_0053,59.41696916099773,59.614338775510205,0.1973696145124748,39,0.6125054955482483,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF035,AMBIGUOUS_ROUTE
BASS,BP_0054,59.614338775510205,59.881368253968255,0.26702947845804914,39,0.7243692278862,"[2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF035,AMBIGUOUS_ROUTE
BASS,BP_0055,59.927808163265304,60.20644761904762,0.27863945578231863,34,0.6306832432746887,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1]",HF036,SECURE_ROUTE
BASS,BP_0056,60.21805759637188,60.55474693877551,0.3366893424036306,41,0.6224748492240906,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF037,SECURE_ROUTE
BASS,BP_0057,60.67084671201814,60.91594013605442,0.24509342403627699,42,0.6716662645339966,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF038,SECURE_ROUTE
BASS,BP_0058,60.91594013605442,61.05525986394558,0.13931972789116287,43,0.665841817855835,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF039,AMBIGUOUS_ROUTE
BASS,BP_0059,61.06686984126984,61.26423945578232,0.1973696145124748,43,0.668583333492279,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF039,AMBIGUOUS_ROUTE
BASS,BP_0060,61.33389931972789,61.53126893424036,0.1973696145124677,47,0.7665325999259949,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",HF040,AMBIGUOUS_ROUTE
BASS,BP_0061,61.53126893424036,61.67058866213152,0.13931972789116287,47,0.647739589214325,"[1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2]",HF040,AMBIGUOUS_ROUTE
BASS,BP_0062,61.70541859410431,61.86795827664399,0.16253968253968054,48,0.8277449607849121,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF041,AMBIGUOUS_ROUTE
BASS,BP_0063,61.86795827664399,62.04210793650793,0.17414965986394293,48,0.6816993951797485,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF041,AMBIGUOUS_ROUTE
BASS,BP_0064,62.181427664399095,62.42523718820861,0.24380952380951726,52,0.5931293368339539,"[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF042,SECURE_ROUTE
BASS,BP_0065,62.92575011337868,63.16955963718821,0.24380952380952436,52,0.6705843806266785,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2]",HF043,SECURE_ROUTE
BASS,BP_0066,63.18116961451247,63.34370929705216,0.16253968253968765,53,0.4779417812824249,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF044,SECURE_ROUTE
BASS,BP_0067,63.90098820861678,64.10996780045352,0.2089795918367372,57,0.47153234481811523,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",HF045,SECURE_ROUTE
BASS,BP_0068,64.27250748299319,64.50470702947845,0.23219954648526198,55,0.6154730319976807,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF046,AMBIGUOUS_ROUTE
BASS,BP_0069,64.29572743764172,64.4582671201814,0.16253968253968765,43,0.461804062128067,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF046,AMBIGUOUS_ROUTE
BASS,BP_0070,64.64402675736962,64.86590022675738,0.22187346938775931,53,0.42051273584365845,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF047,SECURE_ROUTE
BASS,BP_0071,64.97039002267573,65.14453968253969,0.17414965986395714,47,0.7444691061973572,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",HF048,AMBIGUOUS_ROUTE
BASS,BP_0072,65.14453968253969,65.30707936507937,0.16253968253968765,47,0.602599561214447,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, -2]",HF048,AMBIGUOUS_ROUTE
BASS,BP_0073,65.423179138322,65.69020861678004,0.26702947845804204,46,0.6701964735984802,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]",HF049,SECURE_ROUTE
BASS,BP_0074,66.06172789115647,66.37519727891157,0.3134693877551058,50,0.522367000579834,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",HF050,SECURE_ROUTE
BASS,BP_0075,66.42163718820862,66.73510657596373,0.3134693877551058,46,0.6992239356040955,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF051,AMBIGUOUS_ROUTE
BASS,BP_0076,66.66544671201814,66.8395963718821,0.17414965986395714,38,0.4216460883617401,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]",HF052,AMBIGUOUS_ROUTE
BASS,BP_0077,66.78154648526078,67.08468979591837,0.3031433106575889,50,0.46280160546302795,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF052,AMBIGUOUS_ROUTE
BASS,BP_0078,66.8395963718821,67.22400952380953,0.38441315192743275,38,0.58637535572052,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF052,AMBIGUOUS_ROUTE
BASS,BP_0079,66.96859002267574,67.17756961451246,0.208979591836723,43,0.41476577520370483,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF053,AMBIGUOUS_ROUTE
BASS,BP_0080,67.17756961451246,67.44459909297052,0.26702947845805625,43,0.7004883885383606,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF053,AMBIGUOUS_ROUTE
BASS,BP_0081,67.47942902494331,67.68840861678004,0.208979591836723,41,0.5823783874511719,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0]",HF054,SECURE_ROUTE
BASS,BP_0082,67.80450839002268,67.96704807256236,0.16253968253968765,35,0.5272146463394165,"[2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2]",HF055,AMBIGUOUS_ROUTE
BASS,BP_0083,67.8277283446712,68.0483179138322,0.22058956916099248,47,0.3855258524417877,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF055,AMBIGUOUS_ROUTE
BASS,BP_0084,67.96704807256236,68.16441768707483,0.1973696145124677,35,0.6609545946121216,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",HF055,AMBIGUOUS_ROUTE
BASS,BP_0085,68.16441768707483,68.32695736961452,0.16253968253968765,34,0.5967406034469604,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",HF056,AMBIGUOUS_ROUTE
BASS,BP_0086,68.19924761904763,68.33856734693877,0.13931972789114866,46,0.277983695268631,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]",HF056,AMBIGUOUS_ROUTE
BASS,BP_0087,68.32695736961452,68.51271700680272,0.1857596371881982,34,0.6712319850921631,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",HF056,AMBIGUOUS_ROUTE
BASS,BP_0088,68.50110702947846,68.68686666666667,0.18575963718821242,36,0.5579637885093689,"[-4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF057,AMBIGUOUS_ROUTE
BASS,BP_0089,68.66364671201814,68.85069024943311,0.18704353741497926,48,0.40738263726234436,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",HF057,AMBIGUOUS_ROUTE
BASS,BP_0090,68.68686666666667,68.8855201814059,0.19865351473922033,36,0.6899123787879944,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]",HF057,AMBIGUOUS_ROUTE
