attack_event_id,source_episode_ids,hypothesis_ids,pitch_hypotheses,route,BP_native_onsets_s,search_windows_s,candidate_count,selector_status,selected_acoustic_timestamp_s,timing_provenance,shared_attack,nearest_PLP_quarter,measure,beat,PLP_time_s,delta_B_ms,quarter_multiplicity,abstention_reason,notes
UNRESOLVED_HF023,HF023,BP_0035;BP_0036,[34],AMBIGUOUS_ROUTE,"{""BP_0035"": 55.87335827664399, ""BP_0036"": 55.88496825396825}","{""BP_0035"": [55.72335827664399, 56.02335827664399], ""BP_0036"": [55.734968253968255, 56.03496825396825]}",72,ABSTAIN_NO_SELECTED_ATTACK,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_NO_SELECTED_ATTACK,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF024,HF024,BP_0037,[44],SECURE_ROUTE,"{""BP_0037"": 56.29131746031746}","{""BP_0037"": [56.14131746031746, 56.44131746031746]}",51,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF025,HF025,BP_0038,[43],SECURE_ROUTE,"{""BP_0038"": 56.65122675736961}","{""BP_0038"": [56.501226757369615, 56.80122675736961]}",50,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF026,HF026,BP_0039,[47],AMBIGUOUS_ROUTE,"{""BP_0039"": 56.95437006802721}","{""BP_0039"": [56.80437006802721, 57.10437006802721]}",42,ABSTAIN_NO_SELECTED_ATTACK,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_NO_SELECTED_ATTACK,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF028,HF028,BP_0041,[48],AMBIGUOUS_ROUTE,"{""BP_0041"": 57.314279365079365}","{""BP_0041"": [57.164279365079366, 57.46427936507936]}",37,ABSTAIN_NO_SELECTED_ATTACK,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_NO_SELECTED_ATTACK,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF030,HF030,BP_0044;BP_0045;BP_0046;BP_0047,[28],AMBIGUOUS_ROUTE,"{""BP_0044"": 57.56969886621315, ""BP_0045"": 57.67418866213152, ""BP_0046"": 57.70901859410431, ""BP_0047"": 57.72062857142857}","{""BP_0044"": [57.41969886621315, 57.71969886621315], ""BP_0045"": [57.52418866213152, 57.82418866213152], ""BP_0046"": [57.55901859410431, 57.859018594104306], ""BP_0047"": [57.57062857142857, 57.87062857142857]}",141,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_MULTIPLE_DISTINCT_ATTACKS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF031,HF031,BP_0048,[29],SECURE_ROUTE,"{""BP_0048"": 58.12697777777778}","{""BP_0048"": [57.97697777777778, 58.27697777777778]}",34,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF032,HF032,BP_0049,[33],SECURE_ROUTE,"{""BP_0049"": 58.44044716553288}","{""BP_0049"": [58.29044716553288, 58.59044716553288]}",29,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF033,HF033,BP_0050,[46],AMBIGUOUS_ROUTE,"{""BP_0050"": 58.846796371882085}","{""BP_0050"": [58.69679637188209, 58.996796371882084]}",35,ABSTAIN_NO_SELECTED_ATTACK,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_NO_SELECTED_ATTACK,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF034,HF034,BP_0051;BP_0052,[34],AMBIGUOUS_ROUTE,"{""BP_0051"": 58.88162630385487, ""BP_0052"": 59.173159637188206}","{""BP_0051"": [58.731626303854874, 59.03162630385487], ""BP_0052"": [59.02315963718821, 59.323159637188205]}",87,ABSTAIN_NO_SELECTED_ATTACK,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_NO_SELECTED_ATTACK,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF035,HF035,BP_0053;BP_0054,[39],AMBIGUOUS_ROUTE,"{""BP_0053"": 59.41696916099773, ""BP_0054"": 59.614338775510205}","{""BP_0053"": [59.26696916099773, 59.56696916099773], ""BP_0054"": [59.46433877551021, 59.764338775510204]}",107,ABSTAIN_NO_SELECTED_ATTACK,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_NO_SELECTED_ATTACK,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF036,HF036,BP_0055,[34],SECURE_ROUTE,"{""BP_0055"": 59.927808163265304}","{""BP_0055"": [59.777808163265306, 60.0778081632653]}",39,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF037,HF037,BP_0056,[41],SECURE_ROUTE,"{""BP_0056"": 60.21805759637188}","{""BP_0056"": [60.06805759637188, 60.36805759637188]}",31,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF038,HF038,BP_0057,[42],SECURE_ROUTE,"{""BP_0057"": 60.67084671201814}","{""BP_0057"": [60.52084671201814, 60.82084671201814]}",53,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF042,HF042,BP_0064,[52],SECURE_ROUTE,"{""BP_0064"": 62.181427664399095}","{""BP_0064"": [62.0314276643991, 62.331427664399094]}",31,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF043,HF043,BP_0065,[52],SECURE_ROUTE,"{""BP_0065"": 62.92575011337868}","{""BP_0065"": [62.775750113378685, 63.07575011337868]}",41,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF045,HF045,BP_0067,[57],SECURE_ROUTE,"{""BP_0067"": 63.90098820861678}","{""BP_0067"": [63.75098820861678, 64.05098820861679]}",36,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF049,HF049,BP_0073,[46],SECURE_ROUTE,"{""BP_0073"": 65.423179138322}","{""BP_0073"": [65.27317913832199, 65.573179138322]}",64,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF051,HF051,BP_0075,[46],AMBIGUOUS_ROUTE,"{""BP_0075"": 66.42163718820862}","{""BP_0075"": [66.27163718820862, 66.57163718820863]}",61,ABSTAIN_NO_SELECTED_ATTACK,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_NO_SELECTED_ATTACK,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF053,HF053,BP_0079;BP_0080,[43],AMBIGUOUS_ROUTE,"{""BP_0079"": 66.96859002267574, ""BP_0080"": 67.17756961451246}","{""BP_0079"": [66.81859002267574, 67.11859002267575], ""BP_0080"": [67.02756961451246, 67.32756961451247]}",89,ABSTAIN_NO_SELECTED_ATTACK,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_NO_SELECTED_ATTACK,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
UNRESOLVED_HF054,HF054,BP_0081,[41],SECURE_ROUTE,"{""BP_0081"": 67.47942902494331}","{""BP_0081"": [67.32942902494331, 67.62942902494332]}",43,ABSTAIN_AMBIGUOUS,,DEMUCS_BASS_STEM_NATIVE_SPECTRAL_FRAME_CENTER,False,,,,,,,ABSTAIN_AMBIGUOUS,No measured timing. BP context shown separately in figures; not an attack-to-quarter assignment.
