instrument,quarter_ID,continuous_s,anchored_s,signed_change_ms
BASS,Q189,68.92358606887227,68.94583504144258,22.24897257030989
DRUM,Q189,68.931315171029,68.85234448616959,-78.97068485941361
BASS,Q190,69.28466949067962,69.28905844253032,4.388951850700096
DRUM,Q190,69.29264991625521,69.24123357890983,-51.416337345386864
BASS,Q191,69.64610025894243,69.65334505877024,7.2447998278164505
DRUM,Q191,69.65454167645693,69.64459717741836,-9.944499038567756
BASS,Q192,70.00763438823526,70.00755076459265,-0.0836236426096093
DRUM,Q192,70.01719711530461,70.01947475048829,2.277635183673965
BASS,Q193,70.36900095187407,70.3682349838998,-0.7659679742744174
DRUM,Q193,70.38086297825832,70.3814144202823,0.5514420239762785
BASS,Q194,70.72995682257888,70.72547597287105,-4.480849707832135
DRUM,Q194,70.74579948454775,70.75074018323645,4.940698688699285
