GT_event_id,take,string,condition,expected_pitch,GT_onset,GT_lower_bound,GT_upper_bound,matched_BP_event_id,BP_MIDI_pitch,BP_onset,BP_offset,match_classification,signed_error_ms,absolute_error_ms,interval_relation,notes,candidate_ids,source_wav,clip_id
GAL09_20260914_S1_G_MF_R06,20260914_0031,G,mf,43,79.9695850340136,79.96850793650793,79.97066213151928,T04_N030,43,79.96282993197279,95.13444761904762,CORRECT_PITCH_MATCH,-6.755102040813199,6.755102040813199,BEFORE,"1 exact-pitch, 2 octave-equivalent, 10 total persistent hypotheses; no timing-error ranking",T04_N030,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0031 [2026-09-14 171635].wav,T04
GAL09_20260914_S1_G_MF_R07,20260914_0031,G,mf,43,96.286731292517,96.28558049886621,96.2878820861678,T04_N027,43,96.27350929705216,109.88939002267573,CORRECT_PITCH_MATCH,-13.221995464846259,13.221995464846259,BEFORE,"1 exact-pitch, 2 octave-equivalent, 10 total persistent hypotheses; no timing-error ranking",T04_N027,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0031 [2026-09-14 171635].wav,T04
GAL09_20260914_S1_G_MF_R08,20260914_0031,G,mf,43,111.77980612244897,111.77872562358277,111.78088662131519,T04_N019,43,111.7714902494331,124.85202811791383,CORRECT_PITCH_MATCH,-8.315873015874331,8.315873015874331,BEFORE,"1 exact-pitch, 2 octave-equivalent, 12 total persistent hypotheses; no timing-error ranking",T04_N019,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0031 [2026-09-14 171635].wav,T04
GAL09_20260914_S1_G_MF_R09,20260914_0031,G,mf,43,126.38368027210885,126.38268027210884,126.38468027210884,T04_N011,43,126.38582902494332,139.4096009070295,CORRECT_PITCH_MATCH,2.148752834472134,2.148752834472134,AFTER,"1 exact-pitch, 2 octave-equivalent, 8 total persistent hypotheses; no timing-error ranking",T04_N011,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0031 [2026-09-14 171635].wav,T04
GAL09_20260914_S1_G_MF_R10,20260914_0031,G,mf,43,140.0836553287982,140.08265532879818,140.0846553287982,T04_N005,43,140.08297959183673,153.4782707482993,CORRECT_PITCH_MATCH,-0.6757369614547315,0.6757369614547315,INSIDE,"1 exact-pitch, 4 octave-equivalent, 14 total persistent hypotheses; no timing-error ranking",T04_N005,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0031 [2026-09-14 171635].wav,T04
GAL09_20260914_S2_E_CN_R01,20260914_0033,E,comfortable-natural,28,3.4649739229024945,3.463814058956916,3.4661337868480726,T05_N018,28,3.507497052154195,13.126977777777778,CORRECT_PITCH_MATCH,42.52312925170054,42.52312925170054,AFTER,"1 exact-pitch, 2 octave-equivalent, 3 total persistent hypotheses; no timing-error ranking",T05_N018,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0033 [2026-09-14 172532].wav,T05
GAL09_20260914_S2_E_CN_R02,20260914_0033,E,comfortable-natural,28,16.026685941043084,16.025591836734694,16.027780045351474,T05_N016,28,16.055259863945576,24.605338775510205,CORRECT_PITCH_MATCH,28.573922902491944,28.573922902491944,AFTER,"1 exact-pitch, 1 octave-equivalent, 2 total persistent hypotheses; no timing-error ranking",T05_N016,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0033 [2026-09-14 172532].wav,T05
GAL09_20260914_S2_E_CN_R03,20260914_0033,E,comfortable-natural,28,26.875384353741495,26.8743537414966,26.876414965986395,,,,,MULTIPLE_BP_CANDIDATES,,,,"2 exact-pitch, 1 octave-equivalent, 3 total persistent hypotheses; no timing-error ranking",T05_N013;T05_N034,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0033 [2026-09-14 172532].wav,T05
GAL09_20260914_S2_E_CN_R04,20260914_0033,E,comfortable-natural,28,37.54161224489796,37.54061224489796,37.54261224489796,,,,,MULTIPLE_BP_CANDIDATES,,,,"2 exact-pitch, 4 octave-equivalent, 6 total persistent hypotheses; no timing-error ranking",T05_N012;T05_N032,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0033 [2026-09-14 172532].wav,T05
GAL09_20260914_S2_E_CN_R05,20260914_0033,E,comfortable-natural,28,48.37285827664399,48.37165759637188,48.3740589569161,T05_N011,28,48.351539229024944,55.76384036281179,CORRECT_PITCH_MATCH,-21.319047619044795,21.319047619044795,BEFORE,"1 exact-pitch, 4 octave-equivalent, 5 total persistent hypotheses; no timing-error ranking",T05_N011,/Volumes/SSD Track/JGA/recordings/double_bass/GALLEGATI_2009/session_20260914/metadata/JGA_DB_GALLEGATI_2009_SESSION_20260914 Project/Samples/Recorded/FISHMAN 0033 [2026-09-14 172532].wav,T05
